district_id,province_name,district_name,pi_scenario,year,month,V_TR,rate_pp_year,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month
TUR.10.4_1,Artvin,Hopa,high,2047,4,0.06705690518671184,3.858537867424856e-4,3.4761870124078165e-5,0.8013462854757657,1.1398771555432696,0.25,30,3,5.827558572557751e-7,1.748267571767325e-6,1.748267571767325e-5,1.748267571767325e-5,1.7482660435996777e-6
TUR.10.4_1,Artvin,Hopa,high,2047,5,0.06705690518671184,3.858537867424856e-4,4.7856113975952574e-5,1.103207914941687,1.1398771555432696,0.25,31,3,8.022707243724818e-7,2.4068121731174453e-6,2.4870392455546936e-5,2.4870392455546936e-5,2.4068092767670635e-6
TUR.10.4_1,Artvin,Hopa,high,2047,6,0.06705690518671184,3.858537867424856e-4,5.419776175097368e-5,1.2494033544433176,1.1398771555432696,0.25,30,3,9.085835427667599e-7,2.72575062830028e-6,2.72575062830028e-5,2.72575062830028e-5,2.725746913401217e-6
TUR.10.4_1,Artvin,Hopa,high,2047,7,0.06705690518671184,3.858537867424856e-4,6.219314308297808e-5,1.4337240087847871,1.1398771555432696,0.25,31,3,1.042619924744716e-6,3.127859774234148e-6,3.2321217667086196e-5,3.2321217667086196e-5,3.1278548824342778e-6
TUR.10.4_1,Artvin,Hopa,high,2047,8,0.06705690518671184,3.858537867424856e-4,6.655392399179672e-5,1.5342554185233497,1.1398771555432696,0.25,31,3,1.1157250427303846e-6,3.3471751281911536e-6,3.4587476324641926e-5,3.4587476324641926e-5,3.347169526435323e-6
TUR.10.4_1,Artvin,Hopa,high,2047,9,0.06705690518671184,3.858537867424856e-4,5.729185129732528e-5,1.3207324366221658,1.1398771555432696,0.25,30,3,9.604535601039837e-7,2.881360680311951e-6,2.881360680311951e-5,2.881360680311951e-5,2.88135652914967e-6
TUR.10.4_1,Artvin,Hopa,high,2047,10,0.06705690518671184,3.858537867424856e-4,5.394617541210067e-5,1.243603460048037,1.1398771555432696,0.25,31,3,9.043658924487401e-7,2.7130976773462203e-6,2.803534266591094e-5,2.803534266591094e-5,2.7130939969088885e-6
TUR.10.4_1,Artvin,Hopa,high,2047,11,0.06705690518671184,3.858537867424856e-4,3.1457978963200794e-5,0.7251823004971923,1.1398771555432696,0.25,30,3,5.273686781752328e-7,1.5821060345256984e-6,1.5821060345256986e-5,1.5821060345256986e-5,1.5821047829600587e-6
TUR.10.4_1,Artvin,Hopa,high,2047,12,0.06705690518671184,3.858537867424856e-4,2.8376551811204465e-5,0.6541469635058071,1.1398771555432696,0.25,31,3,4.7571093608243846e-7,1.4271328082473153e-6,1.4747039018555593e-5,1.4747039018555593e-5,1.4271317898550961e-6
TUR.10.4_1,Artvin,Hopa,high,2048,1,0.06705690518671184,3.858537867424856e-4,2.7638413906516668e-5,0.6281034622015411,1.1562600691129385,0.25,31,3,4.633366252100966e-7,1.3900098756302897e-6,1.4363435381512994e-5,1.4363435381512994e-5,1.390008909529783e-6
TUR.10.4_1,Artvin,Hopa,high,2048,2,0.06705690518671184,3.858537867424856e-4,2.8803646461739163e-5,0.6545846179366359,1.1562600691129385,0.25,29,3,4.828708474541027e-7,1.4486125423623081e-6,1.4003254576168978e-5,1.4003254576168978e-5,1.448611493093388e-6
TUR.10.4_1,Artvin,Hopa,high,2048,3,0.06705690518671184,3.858537867424856e-4,2.867714682852629e-5,0.6517097770197132,1.1562600691129385,0.25,31,3,4.807501789764754e-7,1.4422505369294263e-6,1.4903255548270737e-5,1.4903255548270737e-5,1.4422494969412725e-6
TUR.10.4_1,Artvin,Hopa,high,2048,4,0.06705690518671184,3.858537867424856e-4,3.5261477182801926e-5,0.8013462854757657,1.1562600691129385,0.25,30,3,5.911313830476379e-7,1.7733941491429138e-6,1.7733941491429138e-5,1.7733941491429138e-5,1.7733925766760805e-6
TUR.10.4_1,Artvin,Hopa,high,2048,5,0.06705690518671184,3.858537867424856e-4,4.854391050312934e-5,1.103207914941687,1.1562600691129385,0.25,31,3,8.138011010001423e-7,2.4414033030004267e-6,2.5227834131004412e-5,2.5227834131004412e-5,2.441400322794607e-6
TUR.10.4_1,Artvin,Hopa,high,2048,6,0.06705690518671184,3.858537867424856e-4,5.4976699055186984e-5,1.2494033544433176,1.1562600691129385,0.25,30,3,9.21641824005516e-7,2.764925472016548e-6,2.7649254720165478e-5,2.7649254720165478e-5,2.7649216496339335e-6
TUR.10.4_1,Artvin,Hopa,high,2048,7,0.06705690518671184,3.858537867424856e-4,6.308698742607532e-5,1.4337240087847871,1.1562600691129385,0.25,31,3,1.0576045335864037e-6,3.1728136007592114e-6,3.2785740541178515e-05,3.2785740541178515e-05,3.1728085674309625e-6
TUR.10.4_1,Artvin,Hopa,high,2048,8,0.06705690518671184,3.858537867424856e-4,6.751043967723191e-5,1.5342554185233497,1.1562600691129385,0.25,31,3,1.1317602881373424e-6,3.3952808644120273e-6,3.508456893225761e-5,3.508456893225761e-5,3.3952751004040493e-6
