district_id,province_name,district_name,pi_scenario,year,month,V_TR,rate_pp_year,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month,eta_sens,scale_factor
TUR.59.4_1,Mugla,Fethiye,high,2082,2,0.3169429862769339,3.858537867424856e-4,3.5691884785027383e-5,0.6545846179366359,1.432778428344671,0.25,28,3,3.7330565413742176e-6,1.1199169624122654e-5,1.045255831584781e-4,1.045255831584781e-4,1.1199106913606371e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2082,3,0.3169429862769339,3.858537867424856e-4,3.5535133977138145e-5,0.6517097770197132,1.432778428344671,0.25,31,3,3.7166617885534837e-6,1.1149985365660453e-5,1.15216515445158e-4,1.15216515445158e-4,1.1149923204833989e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2082,4,0.3169429862769339,3.858537867424856e-4,4.369403751591783e-5,0.8013462854757657,1.432778428344671,0.25,30,3,4.570011181821155e-6,1.3710033545463466e-5,1.3710033545463466e-4,1.3710033545463466e-4,1.3709939563399942e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2082,5,0.3169429862769339,3.858537867424856e-4,6.015278562587767e-5,1.103207914941687,1.432778428344671,0.25,31,3,6.2914511580168245e-6,1.8874353474050474e-5,1.9503498589852156e-4,1.9503498589852156e-4,1.8874175354510747e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2082,6,0.3169429862769339,3.858537867424856e-4,6.812387000942888e-5,1.2494033544433176,1.432778428344671,0.25,30,3,7.125156323184916e-6,2.1375468969554747e-5,2.1375468969554747e-4,2.1375468969554747e-4,2.1375240515819627e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2082,7,0.3169429862769339,3.858537867424856e-4,7.81735832915409e-5,1.4337240087847871,1.432778428344671,0.25,31,3,8.176267749008567e-6,2.45288032470257e-5,2.534643002192656e-4,2.534643002192656e-4,2.4528502418408316e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2082,8,0.3169429862769339,3.858537867424856e-4,8.365481381999995e-5,1.5342554185233497,1.432778428344671,0.25,31,3,8.749556147822062e-6,2.6248668443466184e-5,2.7123624058248395e-4,2.7123624058248395e-4,2.6248323950150976e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2082,9,0.3169429862769339,3.858537867424856e-4,7.201295685854703e-5,1.3207324366221658,1.432778428344671,0.25,30,3,7.531920527135368e-6,2.2595761581406107e-5,2.2595761581406106e-4,2.2595761581406106e-4,2.2595506299127877e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2082,10,0.3169429862769339,3.858537867424856e-4,6.780764078340162e-5,1.243603460048037,1.432778428344671,0.25,31,3,7.092081533554026e-6,2.1276244600662076e-5,2.1985452754017478e-4,2.1985452754017478e-4,2.1276018262961216e-5,0.33,1.32
TUR.59.4_1,Mugla,Fethiye,high,2082,11,0.3169429862769339,3.858537867424856e-4,3.954121833960045e-5,0.7251823004971923,1.432778428344671,0.25,30,3,4.135662901121807e-6,1.2406988703365421e-5,1.240698870336542e-4,1.240698870336542e-4,1.240691173698405e-5,0.33,1.32
