year,month,M_climate,deltaT_centered
2057,6,1.0404761497692954,0.3113549982253492
2057,7,1.0404761497692954,0.3113549982253492
2057,8,1.0404761497692954,0.3113549982253492
2057,9,1.0404761497692954,0.3113549982253492
2057,10,1.0404761497692954,0.3113549982253492
2057,11,1.0404761497692954,0.3113549982253492
2057,12,1.0404761497692954,0.3113549982253492
2058,1,1.1244353600889725,0.95719507760748
2058,2,1.1244353600889725,0.95719507760748
2058,3,1.1244353600889725,0.95719507760748
2058,4,1.1244353600889725,0.95719507760748
2058,5,1.1244353600889725,0.95719507760748
2058,6,1.1244353600889725,0.95719507760748
2058,7,1.1244353600889725,0.95719507760748
2058,8,1.1244353600889725,0.95719507760748
2058,9,1.1244353600889725,0.95719507760748
2058,10,1.1244353600889725,0.95719507760748
2058,11,1.1244353600889725,0.95719507760748
2058,12,1.1244353600889725,0.95719507760748
2059,1,1.0783639604526398,0.6027996957895372
2059,2,1.0783639604526398,0.6027996957895372
2059,3,1.0783639604526398,0.6027996957895372
2059,4,1.0783639604526398,0.6027996957895372
2059,5,1.0783639604526398,0.6027996957895372
2059,6,1.0783639604526398,0.6027996957895372
2059,7,1.0783639604526398,0.6027996957895372
2059,8,1.0783639604526398,0.6027996957895372
2059,9,1.0783639604526398,0.6027996957895372
2059,10,1.0783639604526398,0.6027996957895372
2059,11,1.0783639604526398,0.6027996957895372
2059,12,1.0783639604526398,0.6027996957895372
2060,1,1.116028608827199,0.892527760209223
2060,2,1.116028608827199,0.892527760209223
2060,3,1.116028608827199,0.892527760209223
2060,4,1.116028608827199,0.892527760209223
2060,5,1.116028608827199,0.892527760209223
2060,6,1.116028608827199,0.892527760209223
2060,7,1.116028608827199,0.892527760209223
2060,8,1.116028608827199,0.892527760209223
2060,9,1.116028608827199,0.892527760209223
2060,10,1.116028608827199,0.892527760209223
2060,11,1.116028608827199,0.892527760209223
2060,12,1.116028608827199,0.892527760209223
2061,1,1.0413830415356982,0.318331088736139
2061,2,1.0413830415356982,0.318331088736139
2061,3,1.0413830415356982,0.318331088736139
2061,4,1.0413830415356982,0.318331088736139
2061,5,1.0413830415356982,0.318331088736139
2061,6,1.0413830415356982,0.318331088736139
2061,7,1.0413830415356982,0.318331088736139
2061,8,1.0413830415356982,0.318331088736139
2061,9,1.0413830415356982,0.318331088736139
2061,10,1.0413830415356982,0.318331088736139
2061,11,1.0413830415356982,0.318331088736139
2061,12,1.0413830415356982,0.318331088736139
2062,1,1.1231728862456545,0.9474837403511884
2062,2,1.1231728862456545,0.9474837403511884
2062,3,1.1231728862456545,0.9474837403511884
2062,4,1.1231728862456545,0.9474837403511884
2062,5,1.1231728862456545,0.9474837403511884
2062,6,1.1231728862456545,0.9474837403511884
2062,7,1.1231728862456545,0.9474837403511884
2062,8,1.1231728862456545,0.9474837403511884
2062,9,1.1231728862456545,0.9474837403511884
2062,10,1.1231728862456545,0.9474837403511884
2062,11,1.1231728862456545,0.9474837403511884
2062,12,1.1231728862456545,0.9474837403511884
2063,1,1.2286595817056196,1.7589198592739965
2063,2,1.2286595817056196,1.7589198592739965
2063,3,1.2286595817056196,1.7589198592739965
2063,4,1.2286595817056196,1.7589198592739965
2063,5,1.2286595817056196,1.7589198592739965
2063,6,1.2286595817056196,1.7589198592739965
2063,7,1.2286595817056196,1.7589198592739965
2063,8,1.2286595817056196,1.7589198592739965
2063,9,1.2286595817056196,1.7589198592739965
2063,10,1.2286595817056196,1.7589198592739965
2063,11,1.2286595817056196,1.7589198592739965
2063,12,1.2286595817056196,1.7589198592739965
2064,1,1.1125368705827523,0.86566823525194
2064,2,1.1125368705827523,0.86566823525194
2064,3,1.1125368705827523,0.86566823525194
2064,4,1.1125368705827523,0.86566823525194
2064,5,1.1125368705827523,0.86566823525194
2064,6,1.1125368705827523,0.86566823525194
2064,7,1.1125368705827523,0.86566823525194
2064,8,1.1125368705827523,0.86566823525194
2064,9,1.1125368705827523,0.86566823525194
2064,10,1.1125368705827523,0.86566823525194
2064,11,1.1125368705827523,0.86566823525194
