district_id,date.x,year,month,era5_value,variable,date.y,hist_value,bias
TUR.40.25_1,1996-07-01,1996,7,23.105371475219727,tas,1996-07-16,21.987031936645508,1.1183395385742188
TUR.40.25_1,1996-08-01,1996,8,22.552146911621094,tas,1996-08-16,21.77725601196289,0.7748908996582031
TUR.40.25_1,1996-09-01,1996,9,18.766992568969727,tas,1996-09-16,19.879915237426758,-1.1129226684570313
TUR.40.25_1,1996-10-01,1996,10,13.879053115844727,tas,1996-10-16,16.959476470947266,-3.080423355102539
TUR.40.25_1,1996-11-01,1996,11,11.772119522094727,tas,1996-11-16,14.091736793518066,-2.31961727142334
TUR.40.25_1,1996-12-01,1996,12,9.264795303344727,tas,1996-12-16,7.727212905883789,1.5375823974609375
TUR.40.25_1,1997-01-01,1997,1,6.168603897094727,tas,1997-01-16,5.781294822692871,0.38730907440185547
TUR.40.25_1,1997-02-01,1997,2,4.485986232757568,tas,1997-02-15,5.40932559967041,-0.9233393669128418
TUR.40.25_1,1997-03-01,1997,3,5.130517482757568,tas,1997-03-16,6.329861164093018,-1.1993436813354492
TUR.40.25_1,1997-04-01,1997,4,8.537500381469727,tas,1997-04-16,10.031063079833984,-1.4935626983642578
TUR.40.25_1,1997-05-01,1997,5,16.068506240844727,tas,1997-05-16,14.587397575378418,1.4811086654663086
TUR.40.25_1,1997-06-01,1997,6,20.107568740844727,tas,1997-06-16,20.292530059814453,-0.18496131896972656
TUR.40.25_1,1997-07-01,1997,7,22.939355850219727,tas,1997-07-16,23.900562286376953,-0.9612064361572266
TUR.40.25_1,1997-08-01,1997,8,20.843408584594727,tas,1997-08-16,22.968708038330078,-2.1252994537353516
TUR.40.25_1,1997-09-01,1997,9,16.984766006469727,tas,1997-09-16,21.138532638549805,-4.153766632080078
TUR.40.25_1,1997-10-01,1997,10,14.248193740844727,tas,1997-10-16,17.341140747070313,-3.092947006225586
TUR.40.25_1,1997-11-01,1997,11,10.905176162719727,tas,1997-11-16,14.596826553344727,-3.691650390625
TUR.40.25_1,1997-12-01,1997,12,7.745995998382568,tas,1997-12-16,11.62353515625,-3.8775391578674316
TUR.40.25_1,1998-01-01,1998,1,5.943994522094727,tas,1998-01-16,5.804092884063721,0.13990163803100586
TUR.40.25_1,1998-02-01,1998,2,5.878076076507568,tas,1998-02-15,7.064550876617432,-1.1864748001098633
TUR.40.25_1,1998-03-01,1998,3,5.637109279632568,tas,1998-03-16,12.618196487426758,-6.9810872077941895
TUR.40.25_1,1998-04-01,1998,4,13.068750381469727,tas,1998-04-16,12.377079010009766,0.6916713714599609
TUR.40.25_1,1998-05-01,1998,5,15.505273818969727,tas,1998-05-16,15.450429916381836,0.054843902587890625
TUR.40.25_1,1998-06-01,1998,6,20.672266006469727,tas,1998-06-16,20.386796951293945,0.28546905517578125
TUR.40.25_1,1998-07-01,1998,7,23.213035583496094,tas,1998-07-16,23.24810218811035,-0.03506660461425781
TUR.40.25_1,1998-08-01,1998,8,24.068017959594727,tas,1998-08-16,23.969051361083984,0.09896659851074219
TUR.40.25_1,1998-09-01,1998,9,19.842676162719727,tas,1998-09-16,20.61161231994629,-0.7689361572265625
TUR.40.25_1,1998-10-01,1998,10,17.005029678344727,tas,1998-10-16,18.184226989746094,-1.1791973114013672
TUR.40.25_1,1998-11-01,1998,11,11.595605850219727,tas,1998-11-16,12.569798469543457,-0.9741926193237305
TUR.40.25_1,1998-12-01,1998,12,6.307519435882568,tas,1998-12-16,10.837407112121582,-4.529887676239014
TUR.40.25_1,1999-01-01,1999,1,6.669579982757568,tas,1999-01-16,6.394864559173584,0.2747154235839844
TUR.40.25_1,1999-02-01,1999,2,5.910790920257568,tas,1999-02-15,6.13187313079834,-0.22108221054077148
TUR.40.25_1,1999-03-01,1999,3,8.29042911529541,tas,1999-03-16,9.88601016998291,-1.5955810546875
TUR.40.25_1,1999-04-01,1999,4,13.13247013092041,tas,1999-04-16,13.429471015930176,-0.2970008850097656
TUR.40.25_1,1999-05-01,1999,5,16.599023818969727,tas,1999-05-16,16.46018409729004,0.1388397216796875
TUR.40.25_1,1999-06-01,1999,6,20.873926162719727,tas,1999-06-16,19.72061538696289,1.153310775756836
TUR.40.25_1,1999-07-01,1999,7,23.539451599121094,tas,1999-07-16,24.46268081665039,-0.9232292175292969
TUR.40.25_1,1999-08-01,1999,8,23.552391052246094,tas,1999-08-16,24.2952880859375,-0.74289703369140625
TUR.40.25_1,1999-09-01,1999,9,20.220117568969727,tas,1999-09-16,19.45960235595703,0.7605152130126953
TUR.40.25_1,1999-10-01,1999,10,16.129541397094727,tas,1999-10-16,19.064563751220703,-2.9350223541259766
TUR.40.25_1,1999-11-01,1999,11,10.950830459594727,tas,1999-11-16,9.829365730285645,1.121464729309082
TUR.40.25_1,1999-12-01,1999,12,9.85659122467041,tas,1999-12-16,7.107219219207764,2.7493720054626465
TUR.40.25_1,2000-01-01,2000,1,2.7853028774261475,tas,2000-01-16,8.092944145202637,-5.307641267776489
TUR.40.25_1,2000-02-01,2000,2,5.353662014007568,tas,2000-02-15,3.6491785049438477,1.7044835090637207
TUR.40.25_1,2000-03-01,2000,3,6.961083889007568,tas,2000-03-16,8.66797924041748,-1.706895351409912
TUR.40.25_1,2000-04-01,2000,4,12.992090225219727,tas,2000-04-16,11.51768970489502,1.474400520324707
TUR.40.25_1,2000-05-01,2000,5,15.528955459594727,tas,2000-05-16,16.001625061035156,-0.4726696014404297
TUR.40.25_1,2000-06-01,2000,6,19.781641006469727,tas,2000-06-16,19.80624008178711,-0.024599075317382813
TUR.40.25_1,2000-07-01,2000,7,23.754053115844727,tas,2000-07-16,22.456180572509766,1.297872543334961
TUR.40.25_1,2000-08-01,2000,8,23.080713272094727,tas,2000-08-16,22.749170303344727,0.33154296875
TUR.40.25_1,2000-09-01,2000,9,20.076318740844727,tas,2000-09-16,21.456897735595703,-1.3805789947509766
TUR.40.25_1,2000-10-01,2000,10,15.024560928344727,tas,2000-10-16,16.113603591918945,-1.0890426635742188
TUR.40.25_1,2000-11-01,2000,11,12.903711318969727,tas,2000-11-16,12.974725723266602,-0.071014404296875
TUR.40.25_1,2000-12-01,2000,12,8.352197647094727,tas,2000-12-16,8.730964660644531,-0.3787670135498047
TUR.40.25_1,2001-01-01,2001,1,7.257714748382568,tas,2001-01-16,8.163761138916016,-0.9060463905334473
TUR.40.25_1,2001-02-01,2001,2,6.946923732757568,tas,2001-02-15,8.9423980712890625,-1.9954743385314941
TUR.40.25_1,2001-03-01,2001,3,11.56386661529541,tas,2001-03-16,6.552943706512451,5.010922908782959
TUR.40.25_1,2001-04-01,2001,4,12.477197647094727,tas,2001-04-16,12.38926887512207,0.08792877197265625
TUR.40.25_1,2001-05-01,2001,5,15.847803115844727,tas,2001-05-16,17.251930236816406,-1.4041271209716797
TUR.40.25_1,2001-06-01,2001,6,20.857812881469727,tas,2001-06-16,20.857662200927734,1.506805419921875e-4
TUR.40.25_1,2001-07-01,2001,7,24.925928115844727,tas,2001-07-16,24.524749755859375,0.40117835998535156
TUR.40.25_1,2001-08-01,2001,8,24.344629287719727,tas,2001-08-16,23.871124267578125,0.47350502014160156
TUR.40.25_1,2001-09-01,2001,9,21.244285583496094,tas,2001-09-16,22.143457412719727,-0.8991718292236328
TUR.40.25_1,2001-10-01,2001,10,16.285791397094727,tas,2001-10-16,17.347585678100586,-1.0617942810058594
TUR.40.25_1,2001-11-01,2001,11,10.55263614654541,tas,2001-11-16,12.78747272491455,-2.2348365783691406
TUR.40.25_1,2001-12-01,2001,12,4.837548732757568,tas,2001-12-16,7.114962100982666,-2.2774133682250977
